id,title,type,status,ProcessingTime,Participation,Consensus
75,Funding proposal reference implementation contracts for fractionalized Secret NFTs and SNIP1155,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.538373029,0.9992
64,SCRT on Osmosis  Early Pool Incentives to Mitigate Slippage and Boost Liquidity,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.538315205,0.9999
63,Enable IBC,ParameterChangeProposal,PASSED,"7 days, 0 hours 0 minutes",0.53643294,0.9999
322,Support SNIP2x Token Upgrade,MsgExecLegacyContent,PASSED,"7 days, 0 hours 0 minutes",0.532832433,0.9993
101,2022Q3 Community Curated Bounty List CCBL,TextProposal,PASSED,"7 days, 0 hours 5 minutes",0.526636534,0.9996
318,Param change compilecost for ShadeX launch,MsgUpdateParams,PASSED,"7 days, 0 hours 0 minutes",0.520752965,0.9994
54,BizDev Committee Proposal,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.519042015,0.9783
69,Awareness Committee Funding Q1 A,CommunityPoolSpendProposal,PASSED,"9 days, 19 hours 21 minutes",0.517393297,0.9992
70,Secret Dreamscape Bootstrap Funding,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.515928716,0.999
175,2023Q2 Testnet Committee,CommunityPoolSpendProposal,PASSED,"7 days, 1 hours 19 minutes",0.51567639,0.9994
81,Secret Network Charter  Code of Conduct 2022Q1,TextProposal,PASSED,"7 days, 0 hours 0 minutes",0.511986004,0.998
153,DO NOT TRUST THE SCAM PROPOSALS 152145 and 141133  DO NOT CLICK THE LINKS,TextProposal,PASSED,"7 days, 0 hours 0 minutes",0.511024952,0.9557
52,Guerrilla Marketing Collective Spend Proposal,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.508765464,0.9434
327,Secret Network v120 Upgrade expedited,MsgSoftwareUpgrade,PASSED,"1 days, 0 hours 0 minutes",0.50085767,0.9993
243,The API Proposal III,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.498583251,0.9219
49,Data Committee Proposal A,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.495745648,0.996
174,Correct Community Curated Bounty project CCBL  P2P NFT Trading Platform  ActiSwap feature on ActiList NFT marketplace,CommunityPoolSpendProposal,PASSED,"7 days, 0 hours 0 minutes",0.494717412,0.0637
