id,title,type,status,ProcessingTime,Participation,Consensus
121,Recover user funds stuck in community pool,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",1.0,0.9999
198,Reduce inflation from 10 to 85,MsgExecLegacyContent,PASSED,"5 days, 0 hours 5 minutes",1.0,0.9965
212,The Apollo Upgrade,MsgExecLegacyContent,PASSED,"5 days, 2 hours 16 minutes",1.0,1.0
195,Integrating NFT Bridging Module in a future network upgrade,MsgExecLegacyContent,PASSED,"6 days, 19 hours 47 minutes",1.0,0.9999
204,Send 50 of Send To Eth fees to the Community Pool,MsgExecLegacyContent,PASSED,"5 days, 2 hours 28 minutes",1.0,0.9999
86,Implement Gravity Bridge Fees,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",1.0,0.9999
210,Gravity Bridge Bug Bounty 1,MsgExecLegacyContent,PASSED,"5 days, 4 hours 5 minutes",1.0,0.9869
105,Pleiades Upgrade  Phase II,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",1.0,0.9999
245,Aurora Upgrade,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",1.0,0.9866
185,Increase minimum deposit for proposals,MsgExecLegacyContent,PASSED,"5 days, 0 hours 5 minutes",0.973999158,0.9999
176,Add STRD Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 2 hours 1 minutes",0.966419548,1.0
177,Add CANTO Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 1 hours 59 minutes",0.966383376,0.9999
59,Setup Canto IBC AutoForwarding,MsgExecLegacyContent,PASSED,"5 days, 0 hours 0 minutes",0.96625511,0.9999
179,Add stOsmo Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 1 hours 21 minutes",0.965745157,0.9999
178,Add stAtom Metadata to Gravity Bridge,MsgExecLegacyContent,PASSED,"5 days, 1 hours 21 minutes",0.965714376,1.0
