id,title,type,status,ProcessingTime,Participation,Consensus
226,Permissionless Smart Contract Deployment,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.703688343,0.4967
265,Stargaze Community Owned Liquid Staking with pSTAKE Finance,MsgCommunityPoolSpend,REJECTED,"3 days, 0 hours 0 minutes",0.763059437,0.6222
244,Funding Proposal for PLStaking A SoftStaking Platform,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.801764842,0.802
223,Bootstrapping the STARS pool on Cosmos Millions,MsgExecLegacyContent,REJECTED,"3 days, 0 hours 0 minutes",0.803882278,0.2479
267,stSTARS  STARS POL for Cosmos DeFi Applications,MsgCommunityPoolSpend,REJECTED,"3 days, 0 hours 0 minutes",0.815505754,0.2015
10,Claim Airdrop Mission 3,MsgExecLegacyContent,PASSED,"3 days, 0 hours 5 minutes",0.233757015,0.999
8,Claim Airdrop Mission 3,MsgExecLegacyContent,PASSED,"3 days, 0 hours 9 minutes",0.23895927,0.9988
23,Extend Osmosis STARS incentives to boost liquidity and mitigate slippage,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.241813838,0.9451
12,Claim Airdrop Mission 3,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.247000773,0.9989
22,Allow Claim Contract Instance,MsgExecLegacyContent,PASSED,"3 days, 0 hours 1 minutes",0.247629561,0.9993
6,Claim Airdrop Mission 3,MsgExecLegacyContent,PASSED,"3 days, 0 hours 14 minutes",0.248039035,0.9995
25,Stargaze Carbon Neutrality through Purchasing and Retiring NCT,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.252155931,0.9195
33,Increase MaxValidators100 to MaxValidators110,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.254302246,0.8632
3,STARS on Osmosis Pool incentives to boost liquidity and mitigate slippage,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.263154307,0.9998
28,Stargaze Claim Smart Contract v0150 Upload,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.273246604,0.9998
4,Enable Airdrop,MsgExecLegacyContent,PASSED,"3 days, 0 hours 2 minutes",0.27436054,0.9942
29,Stargaze Marketplace V1 Smart Contract Upload,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.274616077,0.9998
7,Stargaze v2 Upgrade,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.280679746,0.9999
5,Transfer Protocolowned Osmosis LP Tokens to Community Pool,MsgExecLegacyContent,PASSED,"3 days, 5 hours 5 minutes",0.285130158,0.9987
18,SG721 Contract v080,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.29037348,0.9999
19,Minter Contract v080,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.290402172,0.9999
20,Whitelist Contract v080,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.290448772,0.9998
26,Adjust blocks per year parameter to match block times,MsgExecLegacyContent,PASSED,"3 days, 0 hours 9 minutes",0.293042754,0.9995
21,Claim MintNFT Airdrop Contract,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.293130057,0.9998
24,Stargaze V4 Upgrade,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.299804239,0.9999
30,Allow Claim Contract Instance,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.306425751,0.9992
32,Extend Airdrop Decay Start Time,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.312427587,0.9956
31,Stargaze Marketplace V1 Instantiation,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.313164851,0.9999
13,Stargaze V3 CosmWasm Upgrade,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.321123812,0.9999
27,Stargaze V5 Upgrade,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.328891155,0.9998
36,Increase MaxValidators110 to MaxValidators120,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.35972985,0.9154
34,Stargaze V6 Upgrade,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.374051095,0.9999
37,Parameter Change Proposal Increase MaxValidators from 110  120,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.389696782,0.9193
273,Pin and Migrate  Marketplace Contract,MsgPinCodes,PASSED,"3 days, 0 hours 0 minutes",0.395796799,1.0
41,Marketplace V1 Migration,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.396229214,0.9654
153,Launchpad Vending Minter Contract v210,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.397461774,0.9892
56,Extending Osmosis Pool Incentives,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.397981285,0.9929
54,Pegasus P2P NFT trading contract,MsgExecLegacyContent,PASSED,"3 days, 0 hours 0 minutes",0.400045053,0.9194
274,Update Consensus Params,MsgUpdateParams,PASSED,"3 days, 0 hours 0 minutes",0.411755486,0.9998
